Date,Close/Last,Date_numeric
2023-12-29,4769.83,3382
2023-12-28,4783.35,3381
2023-12-27,4781.58,3380
2023-12-26,4774.75,3379
2023-12-22,4754.63,3375
2023-12-21,4746.75,3374
2023-12-20,4698.35,3373
2023-12-19,4768.37,3372
2023-12-18,4740.56,3371
2023-12-15,4719.19,3368
2023-12-14,4719.55,3367
2023-12-13,4707.09,3366
2023-12-12,4643.7,3365
2023-12-11,4622.44,3364
2023-12-08,4604.37,3361
2023-12-07,4585.59,3360
2023-12-06,4549.34,3359
2023-12-05,4567.18,3358
2023-12-04,4569.78,3357
2023-12-01,4594.63,3354
2023-11-30,4567.8,3353
2023-11-29,4550.58,3352
2023-11-28,4554.89,3351
2023-11-27,4550.43,3350
2023-11-24,4559.34,3347
2023-11-22,4556.62,3345
2023-11-21,4538.19,3344
2023-11-20,4547.38,3343
2023-11-17,4514.02,3340
2023-11-16,4508.24,3339
2023-11-15,4502.88,3338
2023-11-14,4495.7,3337
2023-11-13,4411.55,3336
2023-11-10,4415.24,3333
2023-11-09,4347.35,3332
2023-11-08,4382.78,3331
2023-11-07,4378.38,3330
2023-11-06,4365.98,3329
2023-11-03,4358.34,3326
2023-11-02,4317.78,3325
2023-11-01,4237.86,3324
2023-10-31,4193.8,3323
2023-10-30,4166.82,3322
2023-10-27,4117.37,3319
2023-10-26,4137.23,3318
2023-10-25,4186.77,3317
2023-10-24,4247.68,3316
2023-10-23,4217.04,3315
2023-10-20,4224.16,3312
2023-10-19,4278.0,3311
2023-10-18,4314.6,3310
2023-10-17,4373.2,3309
2023-10-16,4373.63,3308
2023-10-13,4327.78,3305
2023-10-12,4349.61,3304
2023-10-11,4376.95,3303
2023-10-10,4358.24,3302
2023-10-09,4335.66,3301
2023-10-06,4308.5,3298
2023-10-05,4258.19,3297
2023-10-04,4263.75,3296
2023-10-03,4229.45,3295
2023-10-02,4288.39,3294
2023-09-29,4288.05,3291
2023-09-28,4299.7,3290
2023-09-27,4274.51,3289
2023-09-26,4273.53,3288
2023-09-25,4337.44,3287
2023-09-22,4320.06,3284
2023-09-21,4330.0,3283
2023-09-20,4402.2,3282
2023-09-19,4443.95,3281
